Salary,Designation,JobCity,Gender,10percentage,10board,12graduation,12percentage,12board,CollegeTier,Degree,Specialization,collegeGPA,CollegeCityTier,CollegeState,GraduationYear,English,Logical,Quant,Domain,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,Experience,Age,AgeJ,gapgrad,Max_score
420000,senior quality engineer,Bangalore,f,84.3,State,2007,95.8,State,2,B.Tech/B.E.,Computer Science Department ,78.0,0,Andhra Pradesh,2011,515,585,525,63.597875645679395,0.9737,0.8128,0.5269,1.3549,-0.4455,4.0,25.0,22.0,1,445.0
500000,assistant manager,Indore,m,85.4,CBSE,2007,85.0,CBSE,2,B.Tech/B.E.,Electronics and Communication Engineering Department,70.06,0,Madhya Pradesh,2012,695,610,780,96.06032519970529,-0.7335,0.3789,1.2396,-0.1076,0.8637,2.0,25.0,24.0,1,466.0
325000,systems engineer,Chennai,f,85.0,CBSE,2010,68.2,CBSE,2,B.Tech/B.E.,Information Technology Department,70.0,0,Uttar Pradesh,2014,615,545,370,45.087658448345096,0.2718,1.7109,0.1637,-0.8682,0.6721,2.0,22.0,22.0,0,395.0
200000,get,Manesar,m,78.0,CBSE,2008,76.8,CBSE,2,B.Tech/B.E.,Electronics and Communication Engineering Department,73.9,0,Uttar Pradesh,2012,545,625,465,12.450207400953698,-0.880999999999999,-0.2793,-1.0697,0.0916299999999999,-0.1295,1.0,24.0,23.0,2,233.0
300000,system engineer,Hyderabad,m,89.92,State,2010,87.0,State,2,B.Tech/B.E.,Electronics and Communication Engineering Department,76.32,0,Karnataka,2014,560,555,620,0.0,-0.3027,-0.6201,-2.2954,-0.7415,-0.8608,2.0,23.0,22.0,0,645.0
300000,java software engineer,Bangalore,m,86.08,State,2010,67.5,State,2,B.Tech/B.E.,Computer Science Department ,72.98,1,Karnataka,2014,590,435,380,35.653648772447504,1.7081,-0.1054,-1.0379,-2.0092,-1.0872,1.0,22.0,22.0,0,405.0
400000,mechanical engineer,Bangalore,m,92.0,CBSE,2010,91.0,CBSE,1,B.Tech/B.E.,Mechanical Engineering Department,80.8,0,Tamil Nadu,2014,545,555,590,82.95845997930671,-0.0154,1.2114,0.01,0.1459,1.247,1.0,23.0,22.0,0,469.0
600000,electrical engineer,Noida,m,90.0,CBSE,2009,91.2,CBSE,1,B.Tech/B.E.,Electronics and Communication Engineering Department,85.03,1,Delhi,2013,615,670,530,69.4479327708463,-0.159,0.5454,-0.6048,-0.7415,-0.2859,3.0,23.0,22.0,0,735.0
230000,project engineer,Kolkata,m,77.0,CBSE,2010,72.2,CBSE,2,B.Tech/B.E.,Electronics and Communication Engineering Department,78.0,1,West Bengal,2014,605,565,545,49.359638730103796,-1.308,0.5454,-0.9122,0.9066,0.0973,2.0,22.0,21.0,0,385.0
600000,senior php developer,Bangalore,m,88.6,State,2006,83.7,State,2,B.Tech/B.E.,Computer Science Department ,74.9,0,Madhya Pradesh,2010,565,455,565,76.56735812340109,0.0464,0.8128,0.0914,0.1798,0.0284,4.0,26.0,22.0,1,485.0
450000,senior systems engineer,Pune,m,81.0,CBSE,2007,86.0,CBSE,1,B.Tech/B.E.,Information Technology Department,72.29,0,Madhya Pradesh,2011,495,605,715,96.8237495890543,-2.272,1.1248,0.8171,-0.4078,-0.4455,3.0,25.0,21.0,0,605.0
270000,quality assurance engineer,Pune,m,83.6,State,2008,69.83,State,2,B.Tech/B.E.,Electronics and Communication Engineering Department,60.0,0,Maharashtra,2013,380,580,470,22.948175491175494,0.1282,0.5454,-0.7585,-0.995,0.8637,2.0,24.0,23.0,0,266.0
200000,qa analyst,Gurgaon,m,60.8,CBSE,2008,62.4,CBSE,2,B.Tech/B.E.,Electronics and Communication Engineering Department,60.0,0,Haryana,2012,495,425,645,53.8386892985096,0.3555,0.0328,-0.598,-0.2902,-1.2354,2.0,24.0,23.0,2,385.0
300000,java software engineer,Bangalore,m,81.2,State,2008,79.9,State,2,B.Tech/B.E.,Instrumentation Engineering Department,67.67,0,Uttar Pradesh,2013,395,565,645,0.0,0.7027,0.7119,0.01,-0.995,0.6721,3.0,23.0,21.0,0,495.0
350000,network engineer,Others,f,69.54,ICSE,2008,64.43,Others,2,B.Tech/B.E.,Information Technology Department,63.0,0,Uttar Pradesh,2012,485,520,355,30.840058286030803,1.7465,1.9048,0.672,-0.2902,1.2528,2.0,25.0,24.0,1,355.0
325000,product development engineer,Noida,m,85.8,CBSE,2010,74.8,CBSE,2,B.Tech/B.E.,Electronics and Communication Engineering Department,64.8,0,Uttar Pradesh,2014,685,530,620,0.0,1.1336,1.0449,0.7785,-0.6147,-0.8608,1.0,23.0,22.0,0,515.0
250000,associate software developer,Gurgaon,m,60.8,CBSE,2006,66.66,CBSE,2,MCA,Computer Science Department ,74.74,1,Delhi,2013,465,585,515,91.13952783913281,0.8463,1.0449,-1.0659,-1.6289,0.6721,1.0,27.0,26.0,0,545.0
120000,data entry operator,Gurgaon,m,65.0,State,2008,64.8,ICSE,2,B.Tech/B.E.,Computer Science Department ,69.54,0,Uttar Pradesh,2013,465,495,515,56.3267823666597,-0.159,0.3789,1.3933,-0.2344,1.4386,0.0,22.0,21.0,1,425.0
325000,software engineer,Pune,f,79.0,CBSE,2008,62.2,CBSE,2,B.Tech/B.E.,Computer Science Department ,76.3,0,Uttar Pradesh,2012,485,445,435,86.46854133700849,0.8192,0.2668,-0.2714,-0.4078,-0.1295,1.0,24.0,24.0,2,525.0
320000,software engineer,Bangalore,f,91.2,Others,2006,84.63,State,2,B.Tech/B.E.,Computer Science Department ,78.15,0,Karnataka,2010,455,535,445,63.597875645679395,-0.1082,0.9688,0.5269,-0.2902,0.3444,2.0,26.0,22.0,0,445.0
200000,software engineer,Others,f,75.67,Others,2007,74.4,Others,2,B.Tech/B.E.,Information Technology Department,74.01,0,Uttar Pradesh,2012,385,555,445,63.597875645679395,-1.0355,-0.5913,-1.3599,0.0622299999999999,-1.3539,1.0,23.0,21.0,0,445.0
190000,developer,Hyderabad,m,92.5,State,2009,95.2,State,2,B.Tech/B.E.,Electronics and Communication Engineering Department,76.0,0,Telangana,2013,395,455,485,0.0,-0.4463,-0.6201,-0.6048,0.7798,-2.7769,1.0,23.0,22.0,0,455.0
180000,electrical project engineer,Bangalore,m,70.0,State,2006,43.42,State,2,B.Tech/B.E.,Electronics and Communication Engineering Department,55.52,1,Karnataka,2014,370,360,270,64.93897148466911,-0.7335,-2.1186,-1.9881,-0.4879,-5.0763,1.0,28.0,28.0,0,356.0
